asset_id,date,predicted_RUL_min,predicted_RUL_mean,predicted_RUL_max,failure_prob_max,failure_prob_mean,failure_flags,risk_score_max,risk_score_mean,actual_RUL_min,actual_failure_count,is_during_failure_count,readings_count,wind_speed_mean,power_mean,temp_spread_mean,health_status,maintenance_urgency,nearest_failure_type
0,2022-01-01,170.73976,178.07668,180.0,0.00063655875,0.00020689644,0,5.1,1.0652777,180.0,0,0,144,4.969444444444445,0.1373861788617886,1115.8902777777778,Healthy,No Action,Healthy
0,2022-01-02,164.03522,172.77084,180.0,0.00044153922,0.00018810126,0,8.9,4.017361,180.0,0,0,144,3.9124999999999996,0.11440650406504067,612.4312500000001,Healthy,No Action,Healthy
0,2022-01-03,172.97462,177.5177,180.0,0.00039800414,9.015229e-05,0,3.9,1.3791667,180.0,0,0,144,5.493055555555555,0.28255318428184284,854.0027777777777,Healthy,No Action,Healthy
0,2022-01-04,173.57155,176.85806,180.0,0.00022681727,9.324563e-05,0,3.6,1.7430556,180.0,0,0,144,9.082638888888889,0.6291852981029811,1586.5756944444445,Healthy,No Action,Healthy
0,2022-01-05,172.79562,178.63033,180.0,0.000118135846,3.9931765e-05,0,4.0,0.76180553,180.0,0,0,144,9.253472222222221,0.6066869918699187,1579.5423611111112,Healthy,No Action,Healthy
0,2022-01-06,176.85231,179.48764,180.0,4.799446e-05,1.3240288e-05,0,1.7,0.28333333,180.0,0,0,144,2.798611111111111,0.018159891598916,528.1263888888889,Healthy,No Action,Healthy
0,2022-01-07,173.98808,177.76338,180.0,0.0001168713,7.763005e-05,0,3.3,1.2423611,180.0,0,0,144,3.413888888888889,0.023290989159891588,762.8951388888888,Healthy,No Action,Healthy
0,2022-01-08,176.3362,179.36252,180.0,0.0001148234,4.2660362e-05,0,2.0,0.3548611,180.0,0,0,144,4.695138888888889,0.13993766937669375,906.5493055555556,Healthy,No Action,Healthy
0,2022-01-09,176.20763,179.0813,180.0,7.903178e-05,4.2108724e-05,0,2.1,0.5083333,180.0,0,0,144,6.512499999999999,0.2977110433604336,1357.820138888889,Healthy,No Action,Healthy
0,2022-01-10,175.67204,178.65933,180.0,5.661135e-05,2.5534948e-05,0,2.4,0.7423611,180.0,0,0,144,7.991666666666666,0.4879193766937669,1491.173611111111,Healthy,No Action,Healthy
